ts,run_id,lane,exp,model,effort,q,round,rc,seconds,chars
2026-06-11T20:33:08,s02-speed-fable-Q2-r04,0,speed,fable,default,Q2,4,0,13.988,343
2026-06-11T20:33:17,s02-speed-opus-Q5-r07,0,speed,opus,default,Q5,7,0,8.205,91
2026-06-11T20:33:21,s02-pin-opus-Q1-r05,0,pin,opus,high,Q1,5,0,4.371,132
2026-06-11T20:33:29,s02-speed-opus-Q4-r03,0,speed,opus,default,Q4,3,0,8.414,189
2026-06-11T20:33:41,s02-speed-opus-Q2-r01,0,speed,opus,default,Q2,1,0,11.735,282
2026-06-11T20:33:48,s02-speed-fable-Q1-r08,0,speed,fable,default,Q1,8,0,6.859,145
2026-06-11T20:34:07,s02-speed-opus-Q3-r01,0,speed,opus,default,Q3,1,0,18.654,44
2026-06-11T20:34:18,s02-pin-fable-Q1-r02,0,pin,fable,high,Q1,2,0,11.162,118
2026-06-11T20:34:29,s02-speed-fable-Q1-r07,0,speed,fable,default,Q1,7,0,11.02,190
2026-06-11T20:34:34,s02-speed-opus-Q1-r06,0,speed,opus,default,Q1,6,0,4.77,133
2026-06-11T20:34:41,s02-speed-opus-Q1-r07,0,speed,opus,default,Q1,7,0,7.378,169
2026-06-11T20:34:49,s02-speed-opus-Q1-r10,0,speed,opus,default,Q1,10,0,7.849,151
2026-06-11T20:35:34,s02-audit-fable-AUD-r02,1,audit,fable,default,AUD,2,0,294.095,13756
2026-06-11T20:36:23,s02-audit-opus-AUD-r08,2,audit,opus,default,AUD,8,0,264.988,9269
2026-06-11T20:36:49,s02-speed-opus-Q2-r09,2,speed,opus,default,Q2,9,0,26.509,262
2026-06-11T20:37:01,s02-speed-fable-Q5-r05,2,speed,fable,default,Q5,5,0,11.429,17
2026-06-11T20:40:12,s02-audit-opus-AUD-r01,1,audit,opus,default,AUD,1,0,278.426,9585
2026-06-11T20:40:24,s02-speed-opus-Q3-r09,1,speed,opus,default,Q3,9,0,11.051,44
2026-06-11T20:40:34,s02-speed-opus-Q4-r10,1,speed,opus,default,Q4,10,0,10.666,176
2026-06-11T20:41:00,s02-audit-fable-AUD-r05,0,audit,fable,default,AUD,5,0,371.532,15989
2026-06-11T20:41:19,s02-speed-opus-Q5-r05,0,speed,opus,default,Q5,5,0,18.922,40
2026-06-11T20:41:32,s02-speed-opus-Q5-r04,0,speed,opus,default,Q5,4,0,13.106,40
2026-06-11T20:41:38,s02-speed-opus-Q1-r02,0,speed,opus,default,Q1,2,0,5.091,133
