task,model,engine_label,effort,wall_s,input_tok,cache_read_tok,output_tok,cost_k3_usd,exit,text_chars
T7,kimi,Kimi K3 (day 2 attempt 4),high,266.3,106040,786944,3658,0.373,1,1307
T7,kimi,Kimi K3 (day 3 attempt 6),max,4070.3,253973,15699200,64234,6.4352,0,69872
